filename,module_name,module_params,execution_time,retrieval_f1,retrieval_recall,retrieval_ndcg,retrieval_mrr,is_best
0.parquet,VectorDB,"{'top_k': 3, 'vectordb': 'local'}",0.0312070369720459,0.5,1.0,1.0,1.0,True
1.parquet,VectorDB,"{'top_k': 5, 'vectordb': 'local'}",0.026669406890869142,0.33333333333333337,1.0,1.0,1.0,False
