id,label,flag,variant,root_cause,is_baseline,in_training,trace_count,trace_total_spans,trace_http_5xx_spans,trace_unique_services,trace_unique_span_names,log_error_count,log_total_lines,log_error_ratio,frontend_error_count,checkout_error_count,recommendation_error_count,product_catalog_error_count,payment_error_count,metrics_series_len,req_rate_sum
eval114_loadGeneratorFloodHomepage_on,eval114_loadGeneratorFloodHomepage_on,loadGeneratorFloodHomepage,on,loadGeneratorFloodHomepage,False,False,76,76,0,0,26,15058,110589,0.1361618244129163,2647,8,0,2,62,2,0.3041653993108362
eval115_loadGeneratorFloodHomepage_on,eval115_loadGeneratorFloodHomepage_on,loadGeneratorFloodHomepage,on,loadGeneratorFloodHomepage,False,False,106,106,0,0,40,13380,48998,0.2730723703008286,2647,8,0,2,0,2,0.35833482639510994
eval116_loadGeneratorFloodHomepage_on,eval116_loadGeneratorFloodHomepage_on,loadGeneratorFloodHomepage,on,loadGeneratorFloodHomepage,False,False,79,79,0,0,32,15053,110602,0.13610061300880635,2647,8,0,2,61,2,0.31666666666666665
eval117_loadGeneratorFloodHomepage_on,eval117_loadGeneratorFloodHomepage_on,loadGeneratorFloodHomepage,on,loadGeneratorFloodHomepage,False,False,173,173,4,0,37,12188,50642,0.2406697997709411,2,8,0,2,1,2,0.31666666666666665
eval118_loadGeneratorFloodHomepage_on,eval118_loadGeneratorFloodHomepage_on,loadGeneratorFloodHomepage,on,loadGeneratorFloodHomepage,False,False,121,121,0,0,65,11605,48793,0.237841493656877,2,8,0,2,0,2,0.39166666666666666
eval119_loadGeneratorFloodHomepage_on,eval119_loadGeneratorFloodHomepage_on,loadGeneratorFloodHomepage,on,loadGeneratorFloodHomepage,False,False,168,168,0,0,66,14323,51587,0.2776474693236668,2647,8,0,2,1,2,0.43333333333333335
eval11_adHighCpu_on,eval11_adHighCpu_on,adHighCpu,on,adHighCpu,False,False,92,92,0,0,34,15016,101325,0.14819639773007648,2638,8,0,2,35,2,0.3125
eval11_baseline,eval11_baseline,baseline,off,none,True,False,1191,1191,16,0,43,11168,78226,0.14276583233196125,12,6,8,1,0,2,0.38333173611776616
eval120_loadGeneratorFloodHomepage_on,eval120_loadGeneratorFloodHomepage_on,loadGeneratorFloodHomepage,on,loadGeneratorFloodHomepage,False,False,167,167,4,0,53,11050,68788,0.16063848345641682,2,8,0,2,1,2,0.4541647743134404
eval121_paymentFailure_10%,eval121_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,120,120,4,0,56,11052,68646,0.1609999125950529,2,8,0,2,1,2,0.3249986458389757
