id,label,flag,variant,root_cause,is_baseline,in_training,trace_count,trace_total_spans,trace_http_5xx_spans,trace_unique_services,trace_unique_span_names,log_error_count,log_total_lines,log_error_ratio,frontend_error_count,checkout_error_count,recommendation_error_count,product_catalog_error_count,payment_error_count,metrics_series_len,req_rate_sum
test01_baseline,test01_baseline,cartFailure,off,none,True,False,21,21,0,0,8,0,101,0.0,0,0,0,0,0,0,0.0
test01_recommendationCacheFailure_on,test01_recommendationCacheFailure_on,recommendationCacheFailure,on,recommendationCacheFailure,False,False,19,19,0,0,8,0,118,0.0,0,0,0,0,0,0,0.0
test02_adHighCpu_on,test02_adHighCpu_on,adHighCpu,on,adHighCpu,False,False,23,23,0,0,9,0,123,0.0,0,0,0,0,0,0,0.0
test02_baseline,test02_baseline,cartFailure,off,none,True,False,32,32,0,0,10,0,140,0.0,0,0,0,0,0,0,0.0
test03_baseline,test03_baseline,cartFailure,off,none,True,False,22,22,0,0,8,0,131,0.0,0,0,0,0,0,0,0.0
test03_kafkaQueueProblems_on,test03_kafkaQueueProblems_on,kafkaQueueProblems,on,kafkaQueueProblems,False,False,19,19,0,0,8,0,121,0.0,0,0,0,0,0,0,0.0
test04_baseline,test04_baseline,cartFailure,off,none,True,False,22,22,0,0,8,0,98,0.0,0,0,0,0,0,0,0.0
test04_recommendationCacheFailure_on,test04_recommendationCacheFailure_on,recommendationCacheFailure,on,recommendationCacheFailure,False,False,22,22,0,0,8,0,128,0.0,0,0,0,0,0,0,0.0
test05_baseline,test05_baseline,cartFailure,off,none,True,False,25,25,0,0,8,0,96,0.0,0,0,0,0,0,0,0.0
test05_imageSlowLoad_5sec,test05_imageSlowLoad_5sec,imageSlowLoad,5sec,imageSlowLoad,False,False,22,22,0,0,8,0,150,0.0,0,0,0,0,0,0,0.0
test06_baseline,test06_baseline,cartFailure,off,none,True,False,22,22,0,0,8,0,134,0.0,0,0,0,0,0,0,0.0
test06_cartFailure_on,test06_cartFailure_on,cartFailure,on,cartFailure,False,False,22,22,0,0,8,0,120,0.0,0,0,0,0,0,0,0.0
test07_baseline,test07_baseline,cartFailure,off,none,True,False,22,22,0,0,8,0,164,0.0,0,0,0,0,0,0,0.0
test07_paymentUnreachable_on,test07_paymentUnreachable_on,paymentUnreachable,on,paymentUnreachable,False,False,16,16,0,0,4,0,143,0.0,0,0,0,0,0,0,0.0
test08_baseline,test08_baseline,cartFailure,off,none,True,False,22,22,0,0,8,0,134,0.0,0,0,0,0,0,0,0.0
test08_kafkaQueueProblems_on,test08_kafkaQueueProblems_on,kafkaQueueProblems,on,kafkaQueueProblems,False,False,16,16,0,0,4,0,100,0.0,0,0,0,0,0,0,0.0
test09_baseline,test09_baseline,cartFailure,off,none,True,False,22,22,0,0,8,0,128,0.0,0,0,0,0,0,0,0.0
test09_paymentUnreachable_on,test09_paymentUnreachable_on,paymentUnreachable,on,paymentUnreachable,False,False,16,16,0,0,4,0,137,0.0,0,0,0,0,0,0,0.0
test10_baseline,test10_baseline,cartFailure,off,none,True,False,22,22,0,0,8,0,140,0.0,0,0,0,0,0,0,0.0
